Country,Code,Year,CO2_emissions_per_capita.,GDP_per_capita,Population
Serbia,SRB,2022,6.024712,17097.686,6791218
Seychelles,SYC,2022,6.1495123,31055.39,125532
Sierra Leone,SLE,2022,0.13124847,1690.4982,8276808
Singapore,SGP,2022,8.911513,80320.086,5649886
Slovakia,SVK,2022,6.051555,27519.287,5473194
Slovenia,SVN,2022,5.9979916,32673.762,2115230
South Africa,ZAF,2022,6.7461643,11415.887,62378419
South Korea,KOR,2022,11.598764,41320.9,51782514
Spain,ESP,2022,5.1644425,34123.387,47828386
Sri Lanka,LKA,2022,0.7936504,10705.481,22834964
Sweden,SWE,2022,3.6069093,47126.13,10487333
Switzerland,CHE,2022,4.0478554,63323.254,8792180
Syria,SYR,2022,1.2490375,2494.7612,22462170
Taiwan,TWN,2022,11.630868,53142.984,23420107
Tajikistan,TJK,2022,1.0064901,5507.5454,10182229
Tanzania,TZA,2022,0.23771806,3057.3286,64711821
Thailand,THA,2022,3.7762568,16421.072,71735320
Togo,TGO,2022,0.2910665,1586.5889,9089742
Trinidad and Tobago,TTO,2022,22.423758,25773.006,1495922
Tunisia,TUN,2022,2.879285,10913.846,12119336
Turkey,TUR,2022,5.1052055,27361.988,87058470
Turkmenistan,TKM,2022,11.03418,17234.555,7230198
Uganda,UGA,2022,0.12744623,2122.0278,47312718
Ukraine,UKR,2022,3.5578535,7749.0996,41048767
United Arab Emirates,ARE,2022,25.833244,77203.67,10242085
United Kingdom,GBR,2022,4.7201805,38406.53,68179315
United States,USA,2022,14.949616,58487.465,341534041
Uruguay,URY,2022,2.3060381,20181.94,3390913
Uzbekistan,UZB,2022,3.4830604,12559.401,34938955
Venezuela,VEN,2022,2.7168686,5267.1753,28213016
Vietnam,VNM,2022,3.4995174,8050.359,99680656
World,OWID_WRL,2022,4.658219,16676.75,8021407170
Yemen,YEM,2022,0.33701748,1959.3195,38222880
Zambia,ZMB,2022,0.44570068,3342.4214,20152934
Zimbabwe,ZWE,2022,0.542628,1703.5294,16069061
