Entity,Code,Year,Global.average.temperature.anomaly.relative.to.1961.1990,Upper.bound.of.the.annual.temperature.anomaly..95..confidence.interval.,Lower.bound.of.the.annual.temperature.anomaly..95..confidence.interval.
Global,NA,1850,-0.4177114,-0.2461663,-0.58925647
Global,NA,1851,-0.2333498,-0.054831687,-0.41186792
Global,NA,1852,-0.22939907,-0.04941572,-0.40938243
Global,NA,1853,-0.27035445,-0.110699534,-0.43000934
Global,NA,1854,-0.29152083,-0.15033019,-0.4327115
Global,NA,1855,-0.29691675,-0.15451474,-0.43931878
Global,NA,1856,-0.32035372,-0.1726142,-0.46809322
Global,NA,1857,-0.46723005,-0.31813794,-0.61632216
Global,NA,1858,-0.3887657,-0.24064532,-0.53688604
Global,NA,1859,-0.28126517,-0.1386095,-0.42392084
Global,NA,1860,-0.39016518,-0.24135375,-0.5389766
Global,NA,1861,-0.42911294,-0.26122484,-0.597001
Global,NA,1862,-0.5363694,-0.3690788,-0.70365995
Global,NA,1863,-0.34424406,-0.15445141,-0.53403676
Global,NA,1864,-0.46546507,-0.28283712,-0.64809304
Global,NA,1865,-0.33248132,-0.14050578,-0.5244569
Global,NA,1866,-0.3412875,-0.16077414,-0.5218009
Global,NA,1867,-0.35699412,-0.16096504,-0.5530232
Global,NA,1868,-0.35182714,-0.1741756,-0.5294787
Global,NA,1869,-0.31659195,-0.15672056,-0.47646335
Global,NA,1870,-0.32792753,-0.18715557,-0.46869946
Global,NA,1871,-0.36856276,-0.22299235,-0.51413316
Global,NA,1872,-0.32811058,-0.19305114,-0.46317002
Global,NA,1873,-0.3412969,-0.21009217,-0.47250164
Global,NA,1874,-0.3732512,-0.2393598,-0.5071426
Global,NA,1875,-0.37562594,-0.23721085,-0.514041
Global,NA,1876,-0.4241099,-0.28534868,-0.56287116
Global,NA,1877,-0.10110884,0.02760234,-0.22982001
Global,NA,1878,-0.011315192,0.1085822,-0.13121258
Global,NA,1879,-0.30363432,-0.1732043,-0.43406436
Global,NA,1880,-0.31583205,-0.19151321,-0.44015092
Global,NA,1881,-0.23224552,-0.10655606,-0.35793498
Global,NA,1882,-0.29553008,-0.17091006,-0.4201501
Global,NA,1883,-0.3464744,-0.23213112,-0.4608177
Global,NA,1884,-0.49232006,-0.38197154,-0.6026686
Global,NA,1885,-0.47112358,-0.35917896,-0.5830682
Global,NA,1886,-0.42090362,-0.31926903,-0.5225382
Global,NA,1887,-0.49878576,-0.38101166,-0.61655986
Global,NA,1888,-0.37937889,-0.265434,-0.49332377
Global,NA,1889,-0.24989556,-0.12757017,-0.37222093
Global,NA,1890,-0.50685817,-0.3813068,-0.6324095
Global,NA,1891,-0.40131494,-0.26525998,-0.5373699
Global,NA,1892,-0.5075585,-0.3707885,-0.64432853
Global,NA,1893,-0.49461922,-0.35770702,-0.6315314
Global,NA,1894,-0.48376393,-0.34195974,-0.6255681
Global,NA,1895,-0.4487516,-0.3154826,-0.58202064
Global,NA,1896,-0.28400728,-0.15061307,-0.41740146
Global,NA,1897,-0.25980017,-0.12107606,-0.39852425
Global,NA,1898,-0.48579213,-0.35393503,-0.6176492
Global,NA,1899,-0.35543364,-0.22447036,-0.48639694
Global,NA,1900,-0.2344939,-0.1025179,-0.3664699
Global,NA,1901,-0.29341024,-0.15855433,-0.42826617
Global,NA,1902,-0.43895653,-0.3046049,-0.57330817
Global,NA,1903,-0.5332871,-0.40852055,-0.65805364
Global,NA,1904,-0.59751105,-0.47006598,-0.72495615
Global,NA,1905,-0.40779322,-0.2851569,-0.53042954
Global,NA,1906,-0.31910878,-0.19329198,-0.4449256
Global,NA,1907,-0.5040763,-0.38819233,-0.61996025
Global,NA,1908,-0.5138197,-0.39752448,-0.6301149
Global,NA,1909,-0.53568715,-0.42751858,-0.64385575
Global,NA,1910,-0.5309095,-0.4163476,-0.6454714
Global,NA,1911,-0.539079,-0.42710155,-0.6510565
Global,NA,1912,-0.47553864,-0.37275177,-0.5783255
Global,NA,1913,-0.4670111,-0.3568033,-0.5772189
Global,NA,1914,-0.26243657,-0.15486072,-0.37001243
Global,NA,1915,-0.19167219,-0.07413985,-0.30920455
Global,NA,1916,-0.42002314,-0.2947124,-0.5453339
Global,NA,1917,-0.5428197,-0.40839645,-0.67724293
Global,NA,1918,-0.4243641,-0.28244856,-0.56627965
Global,NA,1919,-0.32528907,-0.18691428,-0.46366385
Global,NA,1920,-0.29835507,-0.16562946,-0.4310807
Global,NA,1921,-0.24044435,-0.11637985,-0.36450884
Global,NA,1922,-0.3390137,-0.22834438,-0.449683
Global,NA,1923,-0.31768188,-0.20929964,-0.4260641
Global,NA,1924,-0.3118017,-0.2031921,-0.4204113
Global,NA,1925,-0.28214198,-0.16933253,-0.39495143
Global,NA,1926,-0.122555,-0.014262918,-0.23084709
Global,NA,1927,-0.2291136,-0.12602946,-0.33219776
Global,NA,1928,-0.20646581,-0.09549474,-0.31743687
Global,NA,1929,-0.39244303,-0.28202602,-0.50286
Global,NA,1930,-0.17680542,-0.06319938,-0.29041144
Global,NA,1931,-0.103397675,0.005896252,-0.2126916
Global,NA,1932,-0.14546171,-0.03896824,-0.25195518
Global,NA,1933,-0.32234442,-0.21758842,-0.4271004
Global,NA,1934,-0.17433685,-0.07466974,-0.27400395
Global,NA,1935,-0.20605923,-0.10862113,-0.30349734
Global,NA,1936,-0.16952094,-0.07552263,-0.26351926
Global,NA,1937,-0.019198947,0.08136088,-0.11975877
Global,NA,1938,-0.012200737,0.08590227,-0.110303745
Global,NA,1939,-0.040797204,0.06511029,-0.14670469
Global,NA,1940,0.07593582,0.19382133,-0.041949686
Global,NA,1941,0.0381293,0.23851252,-0.16225392
Global,NA,1942,0.001406068,0.19802456,-0.19521242
Global,NA,1943,0.006421582,0.21242628,-0.19958311
Global,NA,1944,0.14410514,0.3427051,-0.05449483
Global,NA,1945,0.043088354,0.24345961,-0.1572829
Global,NA,1946,-0.11881461,0.028321814,-0.26595104
Global,NA,1947,-0.09120561,0.049379256,-0.23179047
Global,NA,1948,-0.12466127,0.009810847,-0.25913337
Global,NA,1949,-0.14380223,-0.033526964,-0.25407746
Global,NA,1950,-0.2266218,-0.120586626,-0.33265698
Global,NA,1951,-0.06115396,0.028042309,-0.15035023
Global,NA,1952,0.015354548,0.11364508,-0.08293598
Global,NA,1953,0.07763075,0.17579111,-0.020529611
Global,NA,1954,-0.11675023,-0.02499773,-0.20850272
Global,NA,1955,-0.19730994,-0.11018991,-0.28442997
Global,NA,1956,-0.26316562,-0.18720558,-0.33912566
Global,NA,1957,-0.035334915,0.029898778,-0.10056861
Global,NA,1958,-0.017632563,0.04780944,-0.08307456
Global,NA,1959,-0.048004813,0.014354111,-0.11036374
Global,NA,1960,-0.11545958,-0.056781605,-0.17413756
Global,NA,1961,-0.019999769,0.030780297,-0.07077983
Global,NA,1962,-0.06404272,-0.010776198,-0.117309235
Global,NA,1963,-0.036810614,0.016958548,-0.09057977
Global,NA,1964,-0.30586153,-0.26222858,-0.34949452
Global,NA,1965,-0.20442048,-0.15523025,-0.2536107
Global,NA,1966,-0.1488976,-0.09938603,-0.19840918
Global,NA,1967,-0.117539294,-0.07442179,-0.1606568
Global,NA,1968,-0.16864756,-0.12401963,-0.21327549
Global,NA,1969,-0.03138624,0.009118891,-0.071891375
Global,NA,1970,-0.08506408,-0.044075526,-0.12605265
Global,NA,1971,-0.20588905,-0.16730586,-0.24447224
Global,NA,1972,-0.09379131,-0.055899136,-0.1316835
Global,NA,1973,0.04995016,0.0864213,0.013479018
Global,NA,1974,-0.17252657,-0.13482748,-0.21022564
Global,NA,1975,-0.110754214,-0.07020333,-0.15130511
Global,NA,1976,-0.2158369,-0.17581315,-0.25586063
Global,NA,1977,0.1030885,0.14612031,0.06005668
Global,NA,1978,0.005255972,0.045108557,-0.034596615
Global,NA,1979,0.09085814,0.11935765,0.062358625
Global,NA,1980,0.19607204,0.2293401,0.16280398
Global,NA,1981,0.25001204,0.28063282,0.21939126
Global,NA,1982,0.034268282,0.0736452,-0.005108635
Global,NA,1983,0.22380984,0.25957537,0.18804431
Global,NA,1984,0.04799352,0.08444688,0.011540157
Global,NA,1985,0.049729742,0.08379605,0.015663432
Global,NA,1986,0.09568698,0.12696595,0.064408004
Global,NA,1987,0.2430264,0.27386728,0.21218552
Global,NA,1988,0.2821517,0.31726816,0.24703526
Global,NA,1989,0.1792503,0.21400218,0.14449841
Global,NA,1990,0.36058238,0.39659604,0.32456872
Global,NA,1991,0.33889654,0.3737569,0.30403617
Global,NA,1992,0.12489683,0.15891157,0.09088211
Global,NA,1993,0.16570719,0.20319764,0.12821673
Global,NA,1994,0.23354979,0.26868662,0.19841295
Global,NA,1995,0.37686613,0.41007653,0.34365577
Global,NA,1996,0.27668938,0.31019875,0.24318002
Global,NA,1997,0.4223085,0.4545262,0.39009085
Global,NA,1998,0.5773417,0.61161464,0.54306877
Global,NA,1999,0.32448497,0.3561352,0.29283476
Global,NA,2000,0.33108476,0.36394167,0.29822785
Global,NA,2001,0.48928034,0.5204924,0.4580683
Global,NA,2002,0.5434665,0.57415116,0.51278186
Global,NA,2003,0.54417014,0.5770977,0.5112426
Global,NA,2004,0.46737072,0.5004031,0.43433833
Global,NA,2005,0.6068625,0.63801974,0.5757053
Global,NA,2006,0.5725527,0.60313237,0.541973
Global,NA,2007,0.5917013,0.62204945,0.56135315
Global,NA,2008,0.46564984,0.49864236,0.43265733
Global,NA,2009,0.5967816,0.62830764,0.5652556
Global,NA,2010,0.6803714,0.7116668,0.6490759
Global,NA,2011,0.53769773,0.5693943,0.5060012
Global,NA,2012,0.57760704,0.61035883,0.54485524
Global,NA,2013,0.6235753,0.6586669,0.5884838
Global,NA,2014,0.67287165,0.7068384,0.63890487
Global,NA,2015,0.8251144,0.85894173,0.7912871
Global,NA,2016,0.9329271,0.96409065,0.9017635
Global,NA,2017,0.84517425,0.87557375,0.81477475
Global,NA,2018,0.76265407,0.79425603,0.73105204
Global,NA,2019,0.8910726,0.9253579,0.85678726
Global,NA,2020,0.9229205,0.95754296,0.8882981
Global,NA,2021,0.76190555,0.7983534,0.7254577
Global,NA,2022,0.8013053,0.837353,0.76525766
